Reference, Value, Footprint, Datasheet, Frequency
D4,5V,Diodes_SMD:D_0603,
R28,1k5,Resistors_SMD:R_1206,
R25,4k7,Resistors_SMD:R_0603,
D2,12V,Diodes_SMD:D_0603,
C44,0u1,Capacitors_SMD:C_0805,
C45,0u1,Capacitors_SMD:C_0805,
J13,X VREF,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
J12,Y VREF,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
C35,0u1,Capacitors_SMD:C_0805,
C36,0u1,Capacitors_SMD:C_0805,
R39,2k7,Resistors_SMD:R_0603,
C46,0u1,Capacitors_SMD:C_0805,
C47,0u1,Capacitors_SMD:C_0805,
C37,100u,Capacitors_SMD:CP_Elec_6.3x7.7,
C38,100u,Capacitors_SMD:CP_Elec_6.3x7.7,
R38,1k,Resistors_SMD:R_0603,
R36,1k,Resistors_SMD:R_0603,
R73,0R1,Resistors_SMD:R_1206,
R75,0R1,Resistors_SMD:R_1206,
C32,0u22,Capacitors_SMD:C_0603,
R70,0R,Resistors_SMD:R_1206,
C40,0u1,Capacitors_SMD:C_0805,
R67,10k,Resistors_SMD:R_0603,
C42,0u22,Capacitors_SMD:C_0603,
R66,100k,Resistors_SMD:R_0603,
R68,100k,Resistors_SMD:R_0603,
C43,0u22,Capacitors_SMD:C_0603,
R69,10k,Resistors_SMD:R_0603,
C41,0u1,Capacitors_SMD:C_0805,
R71,0R,Resistors_SMD:R_1206,
C34,0u22,Capacitors_SMD:C_0603,
R76,0R1,Resistors_SMD:R_1206,
R74,0R1,Resistors_SMD:R_1206,
D9,D Stop,Diodes_SMD:D_0603,
C3,1u,Capacitors_SMD:C_0603,
D1,USB,Diodes_SMD:D_0603,
J2,USB,mylib:USB_B,
J15,X MOTOR,mylib:VH-4,
J14,Y1 MOTOR,mylib:VH-4,
J16,Y2 MOTOR,mylib:VH-4,
C2,10u,Capacitors_SMD:C_0805,
U3,STM32F20XR,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,
X2,9HT10-32.768KDZY-T,Capacitors_SMD:C_1206,,32.768kHz
C11,20p,Capacitors_SMD:C_0603,
C13,20p,Capacitors_SMD:C_0603,
C15,10p,Capacitors_SMD:C_0603,
C20,10p,Capacitors_SMD:C_0603,
R14,10k,Resistors_SMD:R_0603,
R13,10k,Resistors_SMD:R_0603,
R11,10k,Resistors_SMD:R_0603,
J1,JTAG,Pin_Headers:Pin_Header_Straight_2x05_Pitch1.00mm,
R12,10k,Resistors_SMD:R_0603,
X1,7B-25.000MAAJ-T,Oscillators:Oscillator_SMD_Fordahl_DFAS15-4pin_5.0x3.2mm,,25MHz
R22,22R,Resistors_SMD:R_0603,
R21,22R,Resistors_SMD:R_0603,
C19,0u1,Capacitors_SMD:C_0805,
C17,0u1,Capacitors_SMD:C_0805,
C21,0u1,Capacitors_SMD:C_0805,
C14,0u1,Capacitors_SMD:C_0805,
C16,10u,Capacitors_SMD:C_0805,
L4,LI0603G221R-10,Resistors_SMD:R_0603,,100MHz
SW1,DHT-1163S,mylib:DHT-1163S,
C12,0u1,Capacitors_SMD:C_0805,
R29,10k,Resistors_SMD:R_0603,
C9,2u2,Capacitors_SMD:C_0603,
C10,2u2,Capacitors_SMD:C_0603,
C6,10u,Capacitors_SMD:C_0805,
R4,1k5,Resistors_SMD:R_1206,
C22,0u1,Capacitors_SMD:C_0805,
R1,10k,Resistors_SMD:R_0603,
